Column1,ZCTA5,STATE,COUNTY,Column2,Column3
41401,92267,6,71,San Bernardino,San Bernardino - 92267
41402,92268,6,71,San Bernardino,San Bernardino - 92268
41403,92270,6,65,Riverside,Riverside - 92270
41404,92273,6,25,Imperial,Imperial - 92273
41405,92274,6,25,Imperial,Imperial - 92274
41406,92274,6,65,Riverside,Riverside - 92274
41407,92275,6,25,Imperial,Imperial - 92275
41408,92276,6,65,Riverside,Riverside - 92276
41409,92277,6,65,Riverside,Riverside - 92277
41410,92277,6,71,San Bernardino,San Bernardino - 92277
41411,92278,6,71,San Bernardino,San Bernardino - 92278
41412,92280,6,71,San Bernardino,San Bernardino - 92280
41413,92281,6,25,Imperial,Imperial - 92281
41414,92282,6,65,Riverside,Riverside - 92282
41415,92283,6,25,Imperial,Imperial - 92283
41416,92284,6,71,San Bernardino,San Bernardino - 92284
41417,92285,6,71,San Bernardino,San Bernardino - 92285
41418,92301,6,71,San Bernardino,San Bernardino - 92301
41419,92304,6,71,San Bernardino,San Bernardino - 92304
41420,92305,6,71,San Bernardino,San Bernardino - 92305
41421,92307,6,71,San Bernardino,San Bernardino - 92307
41422,92308,6,71,San Bernardino,San Bernardino - 92308
41423,92309,6,71,San Bernardino,San Bernardino - 92309
41424,92310,6,71,San Bernardino,San Bernardino - 92310
41425,92311,6,71,San Bernardino,San Bernardino - 92311
41426,92313,6,71,San Bernardino,San Bernardino - 92313
41427,92314,6,71,San Bernardino,San Bernardino - 92314
41428,92315,6,71,San Bernardino,San Bernardino - 92315
41429,92316,6,71,San Bernardino,San Bernardino - 92316
41430,92320,6,65,Riverside,Riverside - 92320
41431,92321,6,71,San Bernardino,San Bernardino - 92321
41432,92322,6,71,San Bernardino,San Bernardino - 92322
41433,92324,6,65,Riverside,Riverside - 92324
41434,92324,6,71,San Bernardino,San Bernardino - 92324
41435,92325,6,71,San Bernardino,San Bernardino - 92325
41436,92327,6,71,San Bernardino,San Bernardino - 92327
41437,92328,6,27,Inyo,Inyo - 92328
41438,92332,6,71,San Bernardino,San Bernardino - 92332
41439,92333,6,71,San Bernardino,San Bernardino - 92333
41440,92335,6,71,San Bernardino,San Bernardino - 92335
41441,92336,6,71,San Bernardino,San Bernardino - 92336
41442,92337,6,71,San Bernardino,San Bernardino - 92337
41443,92338,6,71,San Bernardino,San Bernardino - 92338
41444,92339,6,71,San Bernardino,San Bernardino - 92339
41445,92341,6,71,San Bernardino,San Bernardino - 92341
41446,92342,6,71,San Bernardino,San Bernardino - 92342
41447,92344,6,71,San Bernardino,San Bernardino - 92344
41448,92345,6,71,San Bernardino,San Bernardino - 92345
41449,92346,6,71,San Bernardino,San Bernardino - 92346
41450,92347,6,71,San Bernardino,San Bernardino - 92347
41451,92352,6,71,San Bernardino,San Bernardino - 92352
