,ZCTA5,STATE,COUNTY
42153,94939,6,41
42154,94940,6,41
42155,94941,6,41
42156,94945,6,41
42157,94946,6,41
42158,94947,6,41
42159,94949,6,41
42160,94950,6,41
42161,94951,6,97
42162,94952,6,41
42163,94952,6,97
42164,94954,6,97
42165,94956,6,41
42166,94957,6,41
42167,94960,6,41
42168,94963,6,41
42169,94964,6,41
42170,94965,6,41
42171,94970,6,41
42172,94971,6,41
42173,94972,6,41
42174,94973,6,41
42175,95002,6,85
42176,95003,6,87
42177,95004,6,53
42178,95004,6,69
42179,95005,6,87
42180,95006,6,87
42181,95007,6,87
42182,95008,6,85
42183,95010,6,87
42184,95012,6,53
42185,95013,6,85
42186,95014,6,85
42187,95017,6,87
42188,95018,6,87
42189,95019,6,87
42190,95020,6,85
42191,95023,6,69
42192,95023,6,85
42193,95030,6,85
42194,95032,6,85
42195,95033,6,85
42196,95033,6,87
42197,95035,6,85
42198,95037,6,85
42199,95039,6,53
42200,95041,6,87
42201,95043,6,69
42202,95045,6,69
42203,95046,6,85
42204,95050,6,85
42205,95051,6,85
42206,95053,6,85
42207,95054,6,85
42208,95060,6,87
42209,95062,6,87
42210,95064,6,87
42211,95065,6,87
42212,95066,6,87
42213,95070,6,85
42214,95073,6,87
42215,95075,6,69
42216,95076,6,53
42217,95076,6,85
42218,95076,6,87
42219,95110,6,85
42220,95111,6,85
42221,95112,6,85
42222,95113,6,85
42223,95116,6,85
42224,95117,6,85
42225,95118,6,85
42226,95119,6,85
42227,95120,6,85
42228,95121,6,85
42229,95122,6,85
42230,95123,6,85
42231,95124,6,85
42232,95125,6,85
42233,95126,6,85
42234,95127,6,85
42235,95128,6,85
42236,95129,6,85
42237,95130,6,85
42238,95131,6,85
42239,95132,6,85
42240,95133,6,85
42241,95134,6,85
42242,95135,6,85
42243,95136,6,85
42244,95138,6,85
42245,95139,6,85
42246,95140,6,85
42247,95148,6,85
42248,95202,6,77
42249,95203,6,77
42250,95204,6,77
42251,95205,6,77
42252,95206,6,77
42253,95207,6,77
42254,95209,6,77
42255,95210,6,77
42256,95211,6,77
42257,95212,6,77
42258,95215,6,77
42259,95219,6,13
42260,95219,6,77
42261,95220,6,77
42262,95222,6,9
42263,95223,6,3
42264,95223,6,9
42265,95223,6,109
42266,95224,6,9
42267,95225,6,9
42268,95226,6,9
42269,95227,6,77
42270,95228,6,9
42271,95230,6,9
42272,95230,6,77
42273,95230,6,99
42274,95231,6,77
42275,95232,6,9
42276,95233,6,9
42277,95234,6,77
42278,95236,6,77
42279,95237,6,77
42280,95240,6,77
42281,95242,6,77
42282,95245,6,9
42283,95246,6,9
42284,95247,6,9
42285,95248,6,9
42286,95249,6,9
42287,95250,6,9
42288,95251,6,9
42289,95252,6,9
42290,95254,6,9
42291,95255,6,9
42292,95257,6,9
42293,95258,6,77
42294,95301,6,47
42295,95303,6,47
42296,95304,6,77
42297,95305,6,109
42298,95306,6,43
42299,95307,6,99
42300,95310,6,109
42301,95311,6,43
42302,95311,6,109
42303,95312,6,47
42304,95313,6,99
42305,95314,6,109
42306,95315,6,47
42307,95316,6,99
42308,95317,6,47
42309,95318,6,43
42310,95319,6,99
42311,95320,6,77
42312,95321,6,43
42313,95321,6,109
42314,95322,6,47
42315,95323,6,99
42316,95324,6,47
42317,95325,6,43
42318,95326,6,99
42319,95327,6,109
42320,95328,6,99
